Scale,Disk Size FInEDB,Filter Size FInEDB,Disk Size SPX,EMM_R,EMM_C,EMM_V,EDX
sf0.001,72.52,4.34,106.01,37.80,37.79,30.41,0.00
sf0.002,144.44,8.65,211.08,75.26,75.26,60.56,0.00
sf0.003,217.00,12.99,317.12,113.08,113.06,90.98,0.00
sf0.004,291.14,17.38,425.48,151.68,151.70,122.09,0.00
sf0.005,364.06,21.75,532.40,189.82,189.71,152.67,0.00
sf0.006,436.32,26.08,637.66,227.36,227.35,182.96,0.00
sf0.007,509.44,30.43,744.62,265.48,265.49,213.65,0.00
sf0.008,581.33,34.73,849.63,302.92,302.92,243.78,0.00
sf0.009,653.35,39.05,954.89,340.45,340.46,273.97,0.00
sf0.01,725.72,43.43,1060.62,378.15,378.16,304.31,0.00
