Scale,Disk Size FInEDB,Filter Size FInEDB,Disk Size SPX,EMM_R,EMM_C,EMM_V,EDX
sf0.001,78.35,4.48,109.21,37.80,41.00,30.41,0.00
sf0.002,156.03,8.93,217.45,75.26,81.63,60.56,0.00
sf0.003,234.38,13.41,326.68,113.06,122.64,90.98,0.00
sf0.004,314.43,17.94,438.28,151.69,164.51,122.07,0.00
sf0.005,393.29,22.42,548.09,189.70,205.72,152.67,0.00
sf0.006,471.21,26.85,656.86,227.35,246.54,182.97,0.00
sf0.007,550.31,31.46,767.05,265.47,287.92,213.66,0.00
sf0.008,627.89,35.84,875.21,302.93,328.51,243.78,0.00
sf0.009,705.64,40.28,983.63,340.43,369.21,273.99,0.00
sf0.01,783.83,44.73,1092.55,378.15,410.09,304.31,0.00
