Scale,Original Size FInEDB,Modified Size FInEDB,Expand Ratio FInEDB,Original Size SPX,Modified Size SPX,Expand Ratio SPX
sf0.001,80211764,110700281,0.38,95548743,213311403,1.23
sf0.002,159722801,225288842,0.41,190213400,445548747,1.34
sf0.003,240059565,343675582,0.43,285874685,688101821,1.41
sf0.004,322502699,464236940,0.44,384038523,942302238,1.45
sf0.005,403390340,579967598,0.44,480337109,1176327528,1.45
sf0.006,483282454,706446689,0.46,575488270,1449952171,1.52
sf0.007,564488399,829088579,0.47,672145806,1721457597,1.56
sf0.008,643877437,946885353,0.47,766747006,1967295492,1.57
sf0.009,723499469,1064302063,0.47,861588806,2210978527,1.57
sf0.01,803608887,1180952032,0.47,956940258,2451352528,1.56
