Scale,Original Size FInEDB,Modified Size FInEDB,Expand Ratio FInEDB,Original Size SPX,Modified Size SPX,Expand Ratio SPX
sf0.001,1127991,2081896,0.85,1018464,1704650,0.67
sf0.002,2251354,4389280,0.95,2027007,3576641,0.76
sf0.003,3379837,6585710,0.95,3032927,5372544,0.77
sf0.004,10510282,10510282,0.00,7496879,7496879,0.00
sf0.005,13407736,13407736,0.00,9408140,9408140,0.00
sf0.006,15763462,15763462,0.00,11275388,11275388,0.00
sf0.007,20436979,20436979,0.00,13700335,13700335,0.00
sf0.008,23491818,23491818,0.00,15697462,15697462,0.00
sf0.009,26502785,26502785,0.00,17688044,17688044,0.00
sf0.01,29566171,29566171,0.00,19692490,19692490,0.00
