Scale,Original Size FInEDB,Modified Size FInEDB,Expand Ratio FInEDB,Original Size SPX,Modified Size SPX,Expand Ratio SPX
sf0.001,64879414,77402894,0.19,93342628,211085311,1.26
sf0.002,129175329,156086611,0.21,185818692,441161719,1.37
sf0.003,194153711,237229844,0.22,279268242,681446226,1.44
sf0.004,260858941,318612186,0.22,375144748,933426383,1.49
sf0.005,326215267,398091599,0.22,469231375,1165269410,1.48
sf0.006,390863456,482825294,0.24,562223210,1436710663,1.56
sf0.007,456510444,564282851,0.24,656608763,1705820202,1.60
sf0.008,520788397,644278841,0.24,748998488,1949568999,1.60
sf0.009,585195602,724170195,0.24,841644003,2191055749,1.60
sf0.01,649944827,803772017,0.24,935189005,2429142009,1.60
