Scale,Original Size FInEDB,Modified Size FInEDB,Expand Ratio FInEDB,Original Size SPX,Modified Size SPX,Expand Ratio SPX
sf0.001,904993,1591700,0.76,1016416,1704138,0.68
sf0.002,1806391,3356537,0.86,2025983,3579201,0.77
sf0.003,2707789,5048430,0.86,3032415,5372544,0.77
sf0.004,3608154,7068827,0.96,4041326,7499439,0.86
sf0.005,4510064,8869983,0.97,5051293,9411212,0.86
sf0.006,5411462,10625901,0.96,6053781,11273852,0.86
sf0.007,6311836,12947407,1.05,7062204,13698799,0.94
sf0.008,7216809,14840523,1.06,8068619,15689773,0.94
sf0.009,8114623,16729552,1.06,9075163,17692652,0.95
sf0.01,9013461,18623189,1.07,10081226,19685322,0.95
