Scale,FInEDB Size,Filter,FInEDB Range Size,Filter Range,Ratio FInEDB,SPX Size,EMM_R,EMM_C,EMM_V,SPX Range Size,EMM_R Range,EMM_C Range,EMM_V Range,Ratio SPX
sf0.001,64.62,3.40,79.79,6.64,0.23,91.12,31.61,33.71,25.80,203.42,31.61,33.72,138.10,1.23
sf0.002,128.64,6.77,161.40,13.85,0.25,181.40,62.93,67.11,51.36,424.91,62.92,67.12,294.88,1.34
sf0.003,193.34,10.18,245.55,21.40,0.27,272.63,94.57,100.88,77.18,656.21,94.57,100.87,460.77,1.41
sf0.004,259.74,13.69,330.37,29.25,0.27,366.25,127.04,135.52,103.69,898.66,127.04,135.52,636.10,1.45
sf0.005,324.78,17.02,412.83,36.52,0.27,458.06,158.89,169.48,129.68,1121.85,158.91,169.50,793.44,1.45
sf0.006,389.35,20.45,501.39,44.96,0.29,548.85,190.40,203.06,155.39,1382.78,190.37,203.07,989.34,1.52
sf0.007,454.58,23.93,586.74,53.30,0.29,641.02,222.35,237.19,181.47,1641.63,222.35,237.18,1182.35,1.56
sf0.008,518.55,27.26,669.95,60.89,0.29,731.22,253.63,270.57,207.02,1876.21,253.65,270.57,1351.99,1.57
sf0.009,582.60,30.57,752.88,68.45,0.29,821.65,285.02,304.01,232.62,2108.55,285.03,304.01,1519.51,1.57
sf0.01,647.07,33.94,835.72,75.93,0.29,912.97,316.69,337.67,258.36,2337.74,316.57,337.67,1683.87,1.56
