Scale,Original Size FInEDB,Modified Size FInEDB,Expand Ratio FInEDB (join),Original Size SPX,Modified Size SPX,Expand Ratio SPX (join)
sf0.001,80223597,81264904,0.01,95546183,96237185,0.01
sf0.002,159718111,161795182,0.01,190219553,191570720,0.01
sf0.003,240096934,243197536,0.01,286113376,287924978,0.01
sf0.004,322514481,326713158,0.01,384056452,386782447,0.01
sf0.005,403510320,408784055,0.01,480326366,483755064,0.01
sf0.006,483292696,489599232,0.01,575492878,579602893,0.01
sf0.007,564473754,571823064,0.01,672127877,676955516,0.01
sf0.008,643899068,652354603,0.01,766739326,772207528,0.01
sf0.009,723637125,732989989,0.01,861915984,867703759,0.01
sf0.01,803634063,814134081,0.01,956908505,964135986,0.01
