Scale,Original Size FInEDB,Modified Size FInEDB,Expand Ratio FInEDB (join),Original Size SPX,Modified Size SPX,Expand Ratio SPX (join)
sf0.001,80227894,81268166,0.01,95555911,100989179,0.06
sf0.002,159707077,161807692,0.01,190224673,201015086,0.06
sf0.003,240081187,243206944,0.01,285864445,302090229,0.06
sf0.004,322485948,326694768,0.01,384040059,405806774,0.06
sf0.005,403350167,408619562,0.01,480316117,507573549,0.06
sf0.006,483325200,489624607,0.01,575513879,608135300,0.06
sf0.007,564384054,571850704,0.01,672151950,710228851,0.06
sf0.008,643880052,652310331,0.01,766706549,810214219,0.06
sf0.009,723522575,733206247,0.01,861563206,910385483,0.06
sf0.01,803834334,814110770,0.01,957289628,1011143535,0.06
