No. of Select Attrs,Token Size FInEDB,TK_1 Size FInEDB,TK_2 Size FInEDB,TK_3 Size FInEDB,Token Size SPX,TK_1 SPX,TK_2 SPX
1,406,47,356,25,581,50,541
2,417,47,356,36,617,86,541
3,427,47,356,46,652,121,541
4,430,47,349,56,687,156,541
5,445,47,354,66,722,191,541
6,457,47,356,76,757,226,541
7,467,47,356,86,792,261,541
8,477,47,356,96,827,296,541
9,487,47,356,106,862,331,541
10,495,47,354,116,897,366,541
11,507,47,356,126,932,401,541
12,514,47,353,136,967,436,541
13,527,47,356,146,1002,471,541
14,537,47,356,156,1037,506,541
15,536,47,345,166,1072,541,541
16,555,47,354,176,1107,576,541
