No. of Where Attrs,Token Size FInEDB,TK_1 Size FInEDB,TK_2 Size FInEDB,TK_3 Size FInEDB,Token Size SPX,TK_1 SPX,TK_2 SPX
1,225,47,34,166,581,541,50
2,248,47,57,166,617,541,86
3,271,47,80,166,652,541,121
4,292,47,101,166,687,541,156
5,317,47,126,166,722,541,191
6,340,47,149,166,757,541,226
7,363,47,172,166,792,541,261
8,382,47,191,166,827,541,296
9,404,47,213,166,862,541,331
10,432,47,241,166,897,541,366
11,455,47,264,166,932,541,401
12,478,47,287,166,967,541,436
13,501,47,310,166,1002,541,471
14,518,47,327,166,1037,541,506
15,544,47,353,166,1072,541,541
16,570,47,379,166,1107,541,576
